iter	Passed	Remaining
321	619	1305
322	621	1303
323	623	1301
324	625	1299
325	627	1297
326	629	1295
327	631	1293
328	633	1291
329	635	1289
330	636	1287
331	638	1285
332	640	1283
333	642	1281
334	644	1279
335	646	1277
336	648	1274
337	649	1272
338	651	1271
339	653	1269
340	655	1267
341	657	1265
342	659	1263
343	661	1261
344	663	1259
345	665	1257
346	667	1255
347	668	1253
348	670	1251
349	672	1249
350	674	1247
351	676	1245
352	678	1243
353	680	1241
354	682	1239
355	683	1237
356	685	1235
357	687	1233
358	689	1231
359	691	1229
360	693	1226
361	694	1224
362	696	1222
363	698	1220
364	700	1218
365	702	1216
366	704	1214
367	706	1212
368	707	1210
369	709	1208
370	711	1206
371	713	1204
372	715	1202
373	717	1200
374	719	1199
375	721	1197
376	723	1196
377	725	1194
378	727	1192
379	730	1191
380	732	1189
381	734	1187
382	736	1185
383	737	1183
384	739	1181
385	741	1179
386	743	1177
387	745	1175
388	747	1173
389	748	1171
390	750	1169
391	752	1167
392	754	1165
393	756	1163
394	758	1161
395	760	1159
396	762	1157
397	763	1155
398	765	1153
399	767	1151
400	769	1149
401	771	1147
402	773	1145
403	775	1143
404	776	1141
405	778	1139
406	780	1137
407	782	1135
408	784	1133
409	786	1131
410	788	1129
411	790	1127
412	791	1125
413	793	1123
414	795	1121
415	797	1119
416	799	1117
417	801	1115
418	803	1113
419	805	1111
420	806	1109
421	808	1107
422	810	1105
423	812	1103
424	814	1101
425	816	1099
426	818	1098
427	820	1096
428	822	1094
429	824	1092
430	825	1090
431	827	1088
432	829	1086
433	831	1084
434	833	1082
435	835	1080
436	837	1078
437	838	1076
438	840	1074
439	842	1072
440	844	1070
441	846	1068
442	848	1066
443	850	1064
444	852	1062
445	854	1060
446	855	1058
447	857	1056
448	859	1054
449	861	1052
450	863	1050
451	865	1049
452	867	1047
453	868	1045
454	870	1043
455	872	1041
456	874	1039
457	876	1037
458	878	1035
459	880	1033
460	881	1031
461	883	1029
462	885	1027
463	887	1025
464	889	1023
465	891	1021
466	893	1019
467	895	1017
468	897	1015
469	899	1013
470	900	1011
471	903	1010
472	905	1008
473	907	1006
474	909	1005
475	911	1003
476	913	1001
477	915	999
478	917	997
479	919	995
480	921	993
481	922	991
482	924	989
483	926	987
484	928	986
485	930	984
486	932	982
487	934	980
488	936	978
489	938	976
490	940	974
491	941	972
492	943	970
493	945	968
494	947	966
495	949	964
496	951	962
497	953	960
498	955	958
499	956	956
500	958	954
501	960	953
502	962	951
503	964	949
504	966	947
505	968	945
506	970	943
507	972	941
508	973	939
509	975	937
510	977	935
511	979	933
512	981	931
513	983	929
514	985	927
515	987	925
516	989	924
517	990	922
518	992	920
519	994	918
520	996	916
521	998	914
522	1000	912
523	1002	910
524	1004	908
525	1005	906
526	1007	904
527	1009	902
528	1011	900
529	1013	898
530	1015	896
531	1017	894
532	1019	892
533	1020	890
534	1022	889
535	1024	887
536	1026	885
537	1028	883
538	1030	881
539	1032	879
540	1034	877
541	1036	875
542	1038	873
543	1040	871
544	1041	869
545	1043	867
546	1045	866
547	1047	864
548	1049	862
549	1051	860
550	1053	858
551	1054	856
552	1056	854
553	1058	852
554	1060	850
555	1062	848
556	1064	846
557	1066	844
558	1068	842
559	1069	840
560	1071	838
561	1073	836
562	1075	834
563	1077	832
564	1079	830
565	1081	829
566	1083	827
567	1085	825
568	1087	823
569	1089	821
570	1091	820
571	1093	818
572	1095	816
573	1097	814
574	1099	812
575	1101	810
576	1102	808
577	1104	806
578	1106	804
579	1108	802
580	1110	800
581	1112	798
582	1114	796
583	1116	795
584	1117	793
585	1119	791
586	1121	789
587	1123	787
588	1125	785
589	1127	783
590	1129	781
591	1131	779
592	1132	777
593	1134	775
594	1136	773
595	1138	771
596	1140	769
597	1142	767
598	1144	766
599	1146	764
600	1148	762
601	1150	760
602	1151	758
603	1154	756
604	1155	754
605	1157	752
606	1159	750
607	1161	748
608	1163	746
609	1165	745
610	1167	743
611	1169	741
612	1170	739
613	1172	737
614	1174	735
615	1176	733
616	1178	731
617	1180	729
618	1182	727
619	1184	725
620	1186	723
621	1188	721
622	1189	720
623	1191	718
624	1193	716
625	1195	714
626	1197	712
627	1199	710
628	1201	708
629	1203	706
630	1205	704
631	1206	702
632	1208	700
633	1210	698
634	1212	696
635	1214	695
636	1216	693
637	1218	691
638	1220	689
639	1221	687
640	1223	685
641	1225	683
642	1227	681
643	1229	679
644	1231	677
645	1233	675
646	1235	673
647	1236	671
648	1238	670
649	1240	668
650	1242	666
651	1244	664
652	1246	662
653	1248	660
654	1250	658
655	1251	656
656	1253	654
657	1255	652
658	1257	650
659	1259	648
660	1261	646
661	1263	644
662	1265	643
663	1267	641
664	1269	639
665	1271	637
666	1273	635
667	1275	633
668	1277	631
669	1279	630
670	1280	628
671	1282	626
672	1284	624
673	1286	622
674	1288	620
675	1290	618
676	1292	616
677	1293	614
678	1295	612
679	1297	610
680	1299	608
681	1301	606
682	1303	604
683	1305	603
684	1307	601
685	1308	599
686	1310	597
687	1312	595
688	1314	593
689	1316	591
690	1318	589
691	1320	587
692	1322	585
693	1323	583
694	1325	581
695	1327	579
696	1329	578
697	1331	576
698	1333	574
699	1335	572
700	1337	570
701	1339	568
702	1340	566
703	1342	564
704	1344	562
705	1346	560
706	1348	558
707	1350	556
708	1352	554
709	1353	553
710	1355	551
711	1357	549
712	1359	547
713	1361	545
714	1363	543
715	1365	541
716	1367	539
717	1368	537
718	1370	535
719	1372	533
720	1374	531
721	1376	530
722	1378	528
723	1380	526
724	1382	524
725	1383	522
726	1385	520
727	1387	518
728	1389	516
729	1391	514
730	1393	512
731	1394	510
732	1396	508
733	1398	506
734	1400	504
735	1402	503
736	1404	501
737	1406	499
738	1408	497
739	1410	495
740	1412	493
741	1413	491
742	1415	489
743	1417	487
744	1419	485
745	1421	483
746	1423	482
747	1425	480
748	1427	478
749	1428	476
750	1430	474
751	1432	472
752	1434	470
753	1436	468
754	1438	466
755	1440	464
756	1441	462
757	1443	460
758	1445	459
759	1447	457
760	1449	455
761	1451	453
762	1453	451
763	1456	449
764	1458	447
765	1460	446
766	1461	444
767	1463	442
768	1465	440
769	1467	438
770	1469	436
771	1471	434
772	1473	432
773	1475	430
774	1476	428
775	1478	426
776	1480	424
777	1482	423
778	1484	421
779	1486	419
780	1488	417
781	1490	415
782	1492	413
783	1494	411
784	1495	409
785	1497	407
786	1499	405
787	1501	403
788	1503	402
789	1505	400
790	1507	398
791	1509	396
792	1511	394
793	1513	392
794	1514	390
795	1516	388
796	1518	386
797	1520	384
798	1522	383
799	1524	381
800	1526	379
801	1528	377
802	1529	375
803	1531	373
804	1533	371
805	1535	369
806	1537	367
807	1539	365
808	1541	363
809	1543	361
810	1545	360
811	1547	358
812	1548	356
813	1550	354
814	1552	352
815	1554	350
816	1557	348
817	1560	347
818	1563	345
819	1565	343
820	1568	341
821	1570	340
822	1573	338
823	1575	336
824	1578	334
825	1580	332
826	1583	331
827	1585	329
828	1588	327
829	1590	325
830	1593	324
831	1595	322
832	1598	320
833	1600	318
834	1603	316
835	1605	314
836	1608	313
837	1610	311
838	1613	309
839	1615	307
840	1617	305
841	1620	304
842	1622	302
843	1625	300
844	1628	298
845	1631	296
846	1633	295
847	1636	293
848	1639	291
849	1641	289
850	1644	287
851	1646	286
852	1648	284
853	1651	282
854	1654	280
855	1656	278
856	1659	276
857	1661	274
858	1663	273
859	1666	271
860	1668	269
861	1671	267
862	1673	265
863	1675	263
864	1677	261
865	1679	259
866	1681	257
867	1683	256
868	1685	254
869	1687	252
870	1689	250
871	1691	248
872	1693	246
873	1694	244
874	1696	242
875	1698	240
876	1700	238
877	1702	236
878	1704	234
879	1706	232
880	1707	230
881	1709	228
882	1711	226
883	1713	224
884	1715	222
885	1717	220
886	1719	219
887	1721	217
888	1723	215
889	1725	213
890	1727	211
891	1728	209
892	1730	207
893	1732	205
894	1734	203
895	1736	201
896	1738	199
897	1740	197
898	1742	195
899	1744	193
900	1745	191
901	1747	189
902	1749	187
903	1751	185
904	1753	184
905	1755	182
906	1757	180
907	1759	178
908	1761	176
909	1762	174
910	1764	172
911	1766	170
912	1768	168
913	1770	166
914	1772	164
915	1774	162
916	1776	160
917	1777	158
918	1779	156
919	1781	154
920	1783	152
921	1785	151
922	1787	149
923	1789	147
924	1790	145
925	1792	143
926	1794	141
927	1796	139
928	1798	137
929	1800	135
930	1802	133
931	1804	131
932	1805	129
933	1808	127
934	1810	125
935	1812	123
936	1814	121
937	1816	120
938	1818	118
939	1820	116
940	1822	114
941	1824	112
942	1826	110
943	1828	108
944	1830	106
945	1831	104
946	1833	102
947	1835	100
948	1837	98
949	1839	96
950	1841	94
951	1843	92
952	1845	91
953	1848	89
954	1849	87
955	1851	85
956	1853	83
957	1855	81
958	1857	79
959	1859	77
960	1862	75
961	1864	73
962	1866	71
963	1868	69
964	1870	67
965	1871	65
966	1873	63
967	1875	62
968	1878	60
969	1880	58
970	1882	56
971	1883	54
972	1885	52
973	1887	50
974	1889	48
975	1891	46
976	1893	44
977	1896	42
978	1898	40
979	1899	38
980	1901	36
981	1903	34
982	1905	32
983	1907	31
984	1909	29
985	1912	27
986	1913	25
987	1915	23
988	1917	21
989	1919	19
990	1921	17
991	1923	15
992	1925	13
993	1927	11
994	1929	9
995	1931	7
996	1933	5
997	1935	3
998	1937	1
999	1939	0
