level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,4347.0,631.0,542.0,20859.0,2446.0,18413.0,4.92,4.29,8342.0,12.19,298140.0,0.56,006650
2020/12,5125.0,804.0,491.0,21276.0,2334.0,18941.0,6.93,6.13,7559.0,11.75,306685.0,0.75,006650
2021/03,5596.0,865.0,706.0,22855.0,3390.0,19466.0,12.39,10.58,10863.0,9.28,315179.0,1.03,006650
2021/06,6344.0,757.0,584.0,24083.0,4030.0,20053.0,12.26,10.45,8991.0,6.66,324685.0,0.73,006650
2021/09,6341.0,321.0,309.0,24314.0,3947.0,20367.0,10.78,9.26,4748.0,6.69,329767.0,0.65,006650
