level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,1447.0,199.0,142.0,7837.0,4114.0,3724.0,14.59,7.05,1064.0,14.3,29950.0,1.89,008490
2020/12,1215.0,147.0,96.0,7660.0,3890.0,3770.0,16.74,8.04,820.0,11.12,30403.0,1.68,008490
2021/03,1638.0,225.0,195.0,8047.0,4131.0,3916.0,17.45,8.24,1531.0,10.31,31553.0,1.62,008490
2021/06,1547.0,230.0,202.0,8052.0,3972.0,4080.0,16.93,8.09,1623.0,10.98,32913.0,1.68,008490
2021/09,1448.0,117.0,97.0,8400.0,4176.0,4224.0,15.27,7.28,725.0,11.02,34093.0,1.52,008490
