level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,30872.0,2674.0,2407.0,208094.0,78447.0,129647.0,1.65,1.26,3169.0,147.91,188329.0,2.3,006400
2020/12,32514.0,2462.0,3419.0,215342.0,81753.0,133589.0,4.54,3.05,4517.0,76.91,194065.0,3.24,006400
2021/03,29632.0,1332.0,1500.0,219228.0,82805.0,136423.0,5.67,3.73,1907.0,64.65,198153.0,3.33,006400
2021/06,33343.0,2952.0,2883.0,232154.0,90307.0,141847.0,7.29,4.67,3904.0,51.72,206019.0,3.39,006400
2021/09,34398.0,3735.0,4204.0,245212.0,96467.0,148745.0,8.3,5.3,5616.0,45.03,215823.0,3.33,006400
