level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,19762.0,2674.0,1704.0,81820.0,11770.0,70051.0,8.3,7.05,8903.0,12.68,389688.0,0.97,010130
2020/12,22511.0,2617.0,1515.0,84996.0,14126.0,70870.0,8.37,7.04,8053.0,13.22,394347.0,1.02,010130
2021/03,22005.0,2700.0,2123.0,84357.0,13832.0,70525.0,9.49,7.93,11105.0,11.96,392829.0,1.04,010130
2021/06,23754.0,2731.0,1947.0,88024.0,15499.0,72525.0,10.41,8.7,10266.0,11.26,404085.0,1.07,010130
2021/09,24147.0,2658.0,2003.0,92579.0,17345.0,75235.0,10.56,8.7,10563.0,12.58,418512.0,1.2,010130
