level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,54.0,-23.0,-12.0,1514.0,909.0,605.0,6.16,2.25,-35.0,22.43,2198.0,1.08,002870
2020/12,69.0,-17.0,397.0,1078.0,73.0,1004.0,38.76,22.44,1134.0,3.71,3638.0,0.96,002870
2021/03,88.0,-7.0,7.0,1055.0,57.0,997.0,52.94,32.16,22.0,3.32,3616.0,1.11,002870
2021/06,68.0,-10.0,9.0,1038.0,28.0,1010.0,49.04,31.61,23.0,3.03,3645.0,0.95,002870
2021/09,42.0,-8.0,-31.0,1005.0,26.0,979.0,48.03,30.29,-89.0,2.25,3533.0,0.69,002870
