level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,4602.0,531.0,436.0,15526.0,7621.0,7904.0,21.85,11.21,1872.0,3.04,33918.0,0.71,001880
2020/12,5090.0,342.0,158.0,14984.0,6965.0,8019.0,23.71,12.71,676.0,3.94,34409.0,0.89,001880
2021/03,4175.0,630.0,542.0,15794.0,7415.0,8379.0,22.31,11.62,2326.0,4.96,35956.0,0.97,001880
2021/06,4939.0,539.0,363.0,15394.0,6652.0,8742.0,21.17,12.01,1558.0,5.56,37514.0,0.95,001880
2021/09,4648.0,531.0,380.0,15167.0,6045.0,9122.0,16.95,9.4,1631.0,4.94,39144.0,0.78,001880
