level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,91.0,69.0,69.0,1198.0,131.0,1067.0,17.75,15.48,43.0,7.59,662.0,1.22,019550
2020/12,60.0,21.0,21.0,1221.0,131.0,1090.0,13.67,11.95,13.0,14.97,676.0,1.9,019550
2021/03,107.0,72.0,72.0,1291.0,127.0,1164.0,16.0,14.27,45.0,16.49,722.0,2.42,019550
2021/06,53.0,18.0,18.0,1309.0,123.0,1186.0,16.5,14.76,11.0,16.15,736.0,2.44,019550
2021/09,118.0,84.0,83.0,1387.0,117.0,1271.0,16.64,15.05,51.0,14.16,789.0,2.16,019550
