level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,1332.0,103.0,143.0,8205.0,4462.0,3742.0,9.05,4.04,1040.0,13.97,26848.0,1.19,002390
2020/12,1318.0,39.0,123.0,8189.0,4371.0,3818.0,7.47,3.44,891.0,17.0,27704.0,1.2,002390
2021/03,1190.0,68.0,19.0,8315.0,4502.0,3813.0,8.24,3.7,138.0,12.74,27703.0,0.99,002390
2021/06,1238.0,68.0,30.0,9083.0,5076.0,4008.0,8.42,3.64,216.0,12.27,29120.0,0.96,002390
2021/09,1349.0,81.0,-21.0,8582.0,4612.0,3970.0,3.91,1.79,-156.0,22.75,28845.0,0.86,002390
