level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,669642.0,123532.0,93607.0,3757887.0,996526.0,2761362.0,9.51,6.87,1364.0,15.89,39446.0,1.48,005930
2020/12,615515.0,90470.0,66071.0,3782357.0,1022877.0,2759480.0,9.98,7.23,949.0,21.09,39406.0,2.06,005930
2021/03,653885.0,93829.0,71417.0,3928263.0,1185577.0,2742686.0,10.79,7.64,1044.0,19.54,39126.0,2.08,005930
2021/06,636716.0,125667.0,96345.0,3847777.0,1024534.0,2823243.0,12.04,8.82,1391.0,16.99,40361.0,2.0,005930
2021/09,739792.0,158175.0,122933.0,4104207.0,1136546.0,2967661.0,12.6,9.08,1775.0,14.36,42447.0,1.75,005930
