level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,361.0,25.0,22.0,1649.0,661.0,987.0,12.09,7.1,127.0,6.47,5610.0,0.74,009780
2020/12,354.0,37.0,13.0,1666.0,659.0,1007.0,9.31,5.48,72.0,9.86,5724.0,0.88,009780
2021/03,370.0,37.0,33.0,1673.0,642.0,1031.0,10.11,6.03,186.0,8.83,5859.0,0.84,009780
2021/06,413.0,70.0,56.0,1729.0,642.0,1087.0,12.1,7.29,315.0,8.91,6175.0,1.01,009780
2021/09,396.0,50.0,41.0,1772.0,642.0,1130.0,13.44,8.32,235.0,8.07,6418.0,1.02,009780
