level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,98.0,7.0,6.0,443.0,174.0,269.0,7.32,4.79,56.0,15.9,2690.0,1.15,010640
2020/12,92.0,2.0,0.0,448.0,179.0,269.0,6.03,3.66,5.0,24.0,2691.0,1.44,010640
2021/03,110.0,4.0,2.0,456.0,194.0,261.0,5.32,3.1,22.0,28.71,2614.0,1.52,010640
2021/06,119.0,7.0,5.0,450.0,184.0,266.0,5.09,3.04,52.0,30.53,2663.0,1.55,010640
2021/09,146.0,21.0,18.0,455.0,175.0,280.0,9.43,5.76,180.0,14.44,2795.0,1.34,010640
