level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,15958.0,3169.0,2337.0,599822.0,547829.0,51993.0,9.34,0.92,2617.0,5.81,58223.0,0.53,016360
2020/12,27121.0,1625.0,1269.0,638697.0,585526.0,53171.0,9.89,0.94,1421.0,7.11,59542.0,0.68,016360
2021/03,32994.0,3993.0,2890.0,615680.0,561500.0,54181.0,15.29,1.33,3237.0,4.51,60673.0,0.65,016360
2021/06,19406.0,3563.0,2645.0,636780.0,579930.0,56851.0,17.17,1.51,2961.0,4.39,63662.0,0.71,016360
2021/09,25557.0,3627.0,2682.0,668797.0,609291.0,59507.0,17.02,1.5,3004.0,4.51,66637.0,0.72,016360
