level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,19561.0,7671.0,7617.0,244097.0,33211.0,210886.0,6.27,5.46,4221.0,10.47,116777.0,0.63,003550
2020/12,15957.0,-319.0,557.0,242823.0,34210.0,208613.0,7.5,6.6,79.0,10.5,115254.0,0.76,003550
2021/03,21805.0,10009.0,10574.0,251620.0,52194.0,199427.0,9.97,8.39,5914.0,8.3,110071.0,0.82,003550
2021/06,19235.0,6117.0,10011.0,240060.0,29358.0,210701.0,13.74,12.06,5857.0,6.42,127582.0,0.8,003550
2021/09,20268.0,6125.0,5666.0,249746.0,30418.0,219328.0,12.29,10.86,3393.0,6.13,132809.0,0.7,003550
