level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,6014.0,887.0,633.0,45316.0,10313.0,35003.0,3.57,4.76,365.0,10.92,32821.0,0.37,001800
2020/12,5871.0,678.0,404.0,44976.0,10028.0,34947.0,3.98,4.93,226.0,10.67,32688.0,0.4,001800
2021/03,6073.0,860.0,585.0,45470.0,9796.0,35674.0,3.81,4.76,321.0,11.97,32950.0,0.43,001800
2021/06,5049.0,390.0,269.0,45821.0,9689.0,36132.0,3.37,4.21,151.0,16.04,33220.0,0.51,001800
2021/09,6524.0,1040.0,785.0,48349.0,10495.0,37854.0,3.88,4.36,552.0,13.27,34362.0,0.48,001800
