level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,757.0,50.0,34.0,3332.0,1245.0,2087.0,11.83,7.33,165.0,17.08,10182.0,1.9,003220
2020/12,775.0,16.0,21.0,3352.0,1224.0,2128.0,8.42,5.19,103.0,22.27,10382.0,1.78,003220
2021/03,750.0,-23.0,-81.0,3457.0,1443.0,2014.0,1.04,0.53,-381.0,160.72,9837.0,1.63,003220
2021/06,877.0,45.0,29.0,3912.0,1833.0,2079.0,0.32,0.08,144.0,534.28,10132.0,1.63,003220
2021/09,905.0,65.0,62.0,4186.0,2049.0,2137.0,1.62,0.82,296.0,114.46,10406.0,1.78,003220
