level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,3236.0,410.0,293.0,89104.0,80421.0,8684.0,8.3,0.82,682.0,2.75,18148.0,0.21,016610
2020/12,3264.0,585.0,493.0,99596.0,90375.0,9221.0,12.86,1.16,1038.0,2.05,19318.0,0.24,016610
2021/03,4742.0,591.0,449.0,95381.0,85808.0,9574.0,17.63,1.57,961.0,1.91,20085.0,0.3,016610
2021/06,3106.0,372.0,275.0,92858.0,82970.0,9888.0,17.66,1.63,616.0,2.2,20810.0,0.35,016610
2021/09,3103.0,471.0,343.0,97592.0,87340.0,10252.0,17.24,1.67,728.0,2.0,21598.0,0.31,016610
