level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,458.0,55.0,32.0,2882.0,360.0,2523.0,6.17,5.49,120.0,22.28,9519.0,1.3,011040
2020/12,452.0,39.0,29.0,2914.0,286.0,2628.0,5.86,5.09,97.0,21.53,9461.0,1.18,011040
2021/03,390.0,49.0,36.0,2947.0,368.0,2580.0,5.48,4.49,118.0,21.82,9279.0,1.07,011040
2021/06,424.0,25.0,19.0,2940.0,313.0,2627.0,4.82,4.07,62.0,28.58,9538.0,1.18,011040
2021/09,494.0,66.0,51.0,2885.0,292.0,2593.0,5.32,4.69,166.0,26.22,9461.0,1.23,011040
