level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,64.0,45.0,35.0,870.0,37.0,833.0,11.76,11.27,74.0,10.35,1737.0,1.17,021080
2020/12,185.0,97.0,86.0,1004.0,85.0,919.0,17.04,15.85,179.0,8.52,1915.0,1.35,021080
2021/03,68.0,46.0,35.0,999.0,98.0,900.0,22.95,21.07,73.0,9.31,1884.0,1.97,021080
2021/06,90.0,63.0,53.0,1014.0,62.0,952.0,23.84,22.65,109.0,10.09,1993.0,2.2,021080
2021/09,145.0,128.0,108.0,1139.0,78.0,1061.0,29.73,28.03,226.0,7.41,2221.0,1.96,021080
