level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,169.0,32.0,14.0,836.0,140.0,696.0,14.05,11.82,125.0,12.74,6390.0,1.67,014570
2020/12,179.0,32.0,18.0,833.0,125.0,709.0,10.83,9.25,160.0,15.39,6507.0,1.58,014570
2021/03,171.0,31.0,25.0,876.0,158.0,718.0,13.59,11.19,227.0,13.42,6597.0,1.71,014570
2021/06,168.0,13.0,16.0,859.0,124.0,735.0,10.26,8.69,149.0,17.33,6754.0,1.7,014570
2021/09,183.0,21.0,15.0,881.0,137.0,744.0,10.26,8.61,136.0,14.28,6878.0,1.4,014570
