level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,2717.0,345.0,197.0,9559.0,5178.0,4381.0,20.55,8.93,1247.0,16.74,28601.0,2.64,013890
2020/12,3091.0,2.0,-93.0,8968.0,4824.0,4144.0,11.61,5.54,-588.0,32.26,27032.0,3.48,013890
2021/03,2743.0,251.0,191.0,9047.0,4674.0,4373.0,11.59,5.77,1208.0,26.2,28525.0,2.78,013890
2021/06,2514.0,134.0,83.0,9230.0,4775.0,4455.0,8.78,4.4,527.0,43.02,29061.0,3.54,013890
2021/09,2751.0,197.0,177.0,9575.0,4921.0,4655.0,7.94,3.75,1123.0,32.56,30752.0,2.4,013890
