level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,524.0,115.0,87.0,25501.0,22496.0,3005.0,10.0,1.19,28.0,5.21,963.0,0.53,023760
2020/12,527.0,113.0,81.0,26780.0,23712.0,3067.0,10.87,1.3,26.0,5.7,983.0,0.59,023760
2021/03,549.0,161.0,115.0,28099.0,24982.0,3117.0,12.25,1.41,37.0,5.88,999.0,0.68,023760
2021/06,618.0,165.0,115.0,30410.0,27174.0,3236.0,12.95,1.46,37.0,8.0,1036.0,0.97,023760
2021/09,629.0,177.0,130.0,32889.0,29022.0,3867.0,12.83,1.51,41.0,6.37,1238.0,0.72,023760
