level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,2734.0,120.0,29.0,14090.0,7899.0,6192.0,11.95,4.2,32.0,11.75,6415.0,1.3,006060
2020/12,3322.0,297.0,273.0,14335.0,8062.0,6272.0,10.94,3.69,364.0,10.56,6622.0,1.08,006060
2021/03,3545.0,121.0,62.0,14990.0,8664.0,6326.0,10.16,3.94,69.0,10.22,6705.0,1.16,006060
2021/06,3631.0,169.0,119.0,15280.0,8765.0,6515.0,9.55,3.28,151.0,12.81,6967.0,1.13,006060
2021/09,2516.0,-167.0,-145.0,15554.0,9040.0,6514.0,6.43,2.08,-171.0,16.58,6955.0,0.98,006060
