level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,5474.0,459.0,318.0,18562.0,4979.0,13583.0,10.88,7.98,837.0,23.03,40174.0,2.18,012750
2020/12,5832.0,461.0,274.0,19067.0,5225.0,13842.0,10.48,7.68,721.0,22.73,40939.0,2.08,012750
2021/03,5605.0,561.0,419.0,19215.0,5778.0,13437.0,11.4,8.0,1103.0,20.77,39741.0,2.06,012750
2021/06,5826.0,607.0,454.0,19197.0,5288.0,13909.0,10.79,7.84,1195.0,21.24,41139.0,1.99,012750
2021/09,5738.0,512.0,373.0,19504.0,5217.0,14287.0,10.91,7.99,981.0,20.9,42256.0,1.98,012750
