level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,4535.0,595.0,463.0,108555.0,96393.0,12162.0,6.24,0.75,211.0,5.21,5575.0,0.31,003530
2020/12,6437.0,449.0,260.0,118590.0,106068.0,12522.0,5.58,0.62,118.0,7.17,5740.0,0.38,003530
2021/03,8369.0,604.0,481.0,115006.0,101926.0,13080.0,12.48,1.36,219.0,6.16,5995.0,0.71,003530
2021/06,3225.0,390.0,271.0,116333.0,101412.0,14921.0,11.09,1.28,124.0,7.11,6840.0,0.7,003530
2021/09,4297.0,389.0,294.0,114199.0,98279.0,15920.0,9.3,1.17,134.0,7.32,7297.0,0.6,003530
