level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,158.0,21.0,19.0,1247.0,181.0,1066.0,8.11,7.0,168.0,36.03,9561.0,2.81,012790
2020/12,153.0,1.0,11.0,1248.0,173.0,1075.0,7.23,6.22,95.0,34.5,9644.0,2.41,012790
2021/03,133.0,10.0,10.0,1251.0,177.0,1074.0,6.2,5.27,83.0,23.58,9636.0,1.42,012790
2021/06,152.0,21.0,14.0,1230.0,144.0,1086.0,5.07,4.39,122.0,38.07,9747.0,1.88,012790
2021/09,165.0,19.0,17.0,1261.0,157.0,1104.0,4.8,4.15,150.0,30.95,9903.0,1.45,012790
