level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,613.0,46.0,38.0,2501.0,517.0,1984.0,7.26,6.03,238.0,6.88,14335.0,0.45,015230
2020/12,764.0,36.0,16.0,2472.0,500.0,1972.0,7.2,6.11,87.0,7.46,14472.0,0.48,015230
2021/03,838.0,60.0,105.0,2693.0,596.0,2097.0,9.11,7.42,681.0,6.86,15153.0,0.55,015230
2021/06,861.0,69.0,54.0,2730.0,618.0,2112.0,10.07,8.31,350.0,6.81,15338.0,0.6,015230
2021/09,748.0,63.0,59.0,2893.0,704.0,2189.0,10.95,8.68,392.0,5.01,15878.0,0.48,015230
