level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,26555.0,4842.0,3666.0,3531677.0,3281015.0,250661.0,5.98,0.43,442.0,4.09,29815.0,0.27,024110
2020/12,54980.0,5533.0,3603.0,3616162.0,3364738.0,251423.0,6.44,0.46,430.0,4.41,33494.0,0.26,024110
2021/03,53883.0,7803.0,5920.0,3701770.0,3444035.0,257734.0,6.69,0.47,744.0,4.48,34346.0,0.27,024110
2021/06,27525.0,8219.0,6224.0,3783605.0,3519494.0,264111.0,7.66,0.54,778.0,4.41,34932.0,0.3,024110
2021/09,28872.0,8159.0,6121.0,3864500.0,3594812.0,269688.0,8.4,0.59,762.0,3.89,35657.0,0.29,024110
