level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,294.0,37.0,28.0,1498.0,299.0,1200.0,5.82,4.7,157.0,15.22,7230.0,0.82,015710
2020/12,417.0,39.0,25.0,1513.0,288.0,1225.0,6.06,4.87,143.0,16.43,7379.0,0.92,015710
2021/03,181.0,2.0,4.0,1559.0,356.0,1203.0,6.17,4.86,23.0,17.88,7248.0,1.02,015710
2021/06,270.0,19.0,19.0,1601.0,379.0,1222.0,6.33,4.97,109.0,21.01,7363.0,1.23,015710
2021/09,215.0,12.0,10.0,1594.0,362.0,1232.0,4.77,3.75,56.0,20.43,7423.0,0.91,015710
