level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,215.0,5.0,16.0,1506.0,394.0,1112.0,13.64,10.32,80.0,6.51,5711.0,0.84,020710
2020/12,316.0,27.0,10.0,1553.0,425.0,1128.0,4.74,3.37,50.0,19.17,5794.0,0.86,020710
2021/03,198.0,2.0,-4.0,1456.0,345.0,1111.0,3.6,2.73,-20.0,30.4,5703.0,1.03,020710
2021/06,261.0,5.0,23.0,1490.0,357.0,1132.0,4.05,2.96,112.0,39.0,5814.0,1.49,020710
2021/09,160.0,-27.0,-2.0,1484.0,353.0,1131.0,2.35,1.76,-11.0,50.02,5809.0,1.13,020710
