level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,189.0,25.0,17.0,1481.0,407.0,1074.0,6.44,4.74,113.0,9.97,7160.0,0.63,004590
2020/12,223.0,40.0,43.0,1556.0,389.0,1168.0,8.39,6.29,288.0,7.25,7783.0,0.57,004590
2021/03,204.0,32.0,26.0,1624.0,441.0,1183.0,9.2,6.73,173.0,9.72,7888.0,0.84,004590
2021/06,224.0,40.0,35.0,1617.0,394.0,1223.0,10.66,7.89,236.0,10.37,8154.0,1.03,004590
2021/09,218.0,34.0,28.0,1590.0,384.0,1207.0,11.81,8.63,186.0,7.96,7805.0,0.9,004590
