level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,221.0,10.0,37.0,2073.0,392.0,1681.0,13.21,10.07,71.0,90.1,3285.0,10.35,009420
2020/12,218.0,4.0,63.0,2201.0,389.0,1813.0,12.29,9.61,120.0,99.12,3542.0,10.59,009420
2021/03,278.0,54.0,45.0,2036.0,401.0,1635.0,13.21,10.34,87.0,58.6,3193.0,7.17,009420
2021/06,234.0,16.0,33.0,2038.0,413.0,1626.0,11.13,8.86,62.0,63.77,3175.0,6.84,009420
2021/09,255.0,22.0,21.0,2030.0,391.0,1639.0,9.71,7.86,39.0,68.69,3200.0,6.62,009420
