level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,1317.0,119.0,70.0,10735.0,2133.0,8602.0,7.52,4.87,151.0,46.84,13170.0,3.43,020150
2020/12,1326.0,135.0,71.0,10810.0,2274.0,8536.0,7.23,4.04,154.0,54.92,13255.0,3.84,020150
2021/03,1380.0,137.0,155.0,10964.0,2421.0,8542.0,6.77,3.76,337.0,77.9,13269.0,5.12,020150
2021/06,1711.0,214.0,179.0,11220.0,2490.0,8730.0,7.76,4.36,389.0,70.75,13698.0,5.33,020150
2021/09,1986.0,236.0,230.0,11636.0,2553.0,9083.0,9.98,5.68,498.0,75.46,14463.0,7.19,020150
