level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,598.0,212.0,187.0,41963.0,37788.0,4174.0,17.63,1.86,27.0,5.17,609.0,0.84,010050
2020/12,613.0,124.0,128.0,43325.0,38036.0,5289.0,14.04,1.63,16.0,6.1,605.0,0.89,010050
2021/03,667.0,220.0,170.0,48815.0,43445.0,5371.0,14.51,1.54,19.0,7.86,614.0,1.12,010050
2021/06,832.0,353.0,270.0,48604.0,42963.0,5642.0,15.69,1.75,31.0,11.0,645.0,1.6,010050
2021/09,832.0,294.0,225.0,50389.0,44523.0,5866.0,15.79,1.72,26.0,9.48,671.0,1.31,010050
