level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,2612.0,226.0,195.0,13627.0,2691.0,10936.0,7.63,6.13,798.0,9.17,49598.0,0.61,020000
2020/12,3866.0,361.0,311.0,14385.0,3125.0,11260.0,7.85,6.15,1265.0,8.76,51075.0,0.59,020000
2021/03,3333.0,452.0,325.0,14422.0,2936.0,11486.0,8.73,7.0,1325.0,10.4,52106.0,0.78,020000
2021/06,3127.0,235.0,187.0,14547.0,2872.0,11675.0,9.17,7.32,771.0,10.33,52978.0,0.81,020000
2021/09,2964.0,318.0,226.0,15450.0,3534.0,11916.0,9.41,7.22,991.0,9.1,54079.0,0.73,020000
