level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,1647.0,513.0,422.0,9561.0,3473.0,6087.0,23.96,12.99,3509.0,14.38,48786.0,3.06,014680
2020/12,1592.0,268.0,203.0,9992.0,3769.0,6223.0,24.5,13.42,1675.0,18.09,49890.0,3.94,014680
2021/03,1770.0,522.0,436.0,11262.0,4770.0,6492.0,24.76,13.58,3637.0,21.06,52028.0,4.63,014680
2021/06,1873.0,539.0,450.0,11186.0,4220.0,6966.0,25.34,14.93,3735.0,19.55,56050.0,4.38,014680
2021/09,1965.0,560.0,457.0,11601.0,4130.0,7470.0,23.95,14.62,3766.0,27.03,60291.0,5.75,014680
