level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,2442.0,348.0,246.0,9456.0,5047.0,4409.0,21.61,9.64,479.0,17.86,8492.0,3.49,005290
2020/12,2453.0,308.0,70.0,9608.0,5228.0,4380.0,21.58,9.46,135.0,22.01,8437.0,4.33,005290
2021/03,2516.0,286.0,244.0,10277.0,5577.0,4700.0,20.08,8.78,475.0,19.75,8949.0,3.64,005290
2021/06,2747.0,284.0,191.0,10446.0,5526.0,4920.0,16.82,7.52,372.0,19.61,9373.0,3.06,005290
2021/09,2986.0,348.0,309.0,11296.0,5975.0,5321.0,16.96,7.84,603.0,19.84,10196.0,3.08,005290
