level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,744.0,179.0,142.0,5372.0,3128.0,2244.0,24.65,9.33,842.0,8.68,13342.0,1.97,006390
2020/12,916.0,180.0,256.0,5629.0,3071.0,2559.0,27.27,11.18,1523.0,7.96,15211.0,1.95,006390
2021/03,776.0,3.0,1.0,5574.0,3143.0,2431.0,26.04,10.28,5.0,13.06,14450.0,3.04,006390
2021/06,1075.0,202.0,178.0,5652.0,2558.0,3094.0,22.23,10.41,1015.0,11.26,17409.0,2.19,006390
2021/09,995.0,145.0,109.0,5845.0,2696.0,3149.0,20.16,9.7,612.0,10.65,17719.0,1.9,006390
