level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,265.0,33.0,29.0,1060.0,329.0,731.0,14.95,10.8,235.0,5.82,6233.0,0.79,010240
2020/12,351.0,45.0,27.0,1086.0,345.0,740.0,16.61,11.7,223.0,6.09,6410.0,0.91,010240
2021/03,399.0,55.0,46.0,1186.0,413.0,773.0,18.44,12.18,377.0,8.65,6692.0,1.42,010240
2021/06,389.0,41.0,29.0,1153.0,349.0,804.0,17.5,12.08,234.0,12.29,6964.0,1.89,010240
2021/09,307.0,26.0,24.0,1145.0,307.0,839.0,16.21,11.54,198.0,8.79,7260.0,1.25,010240
