level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,1548.0,123.0,77.0,6837.0,3415.0,3422.0,8.92,4.66,120.0,25.44,5567.0,2.09,003850
2020/12,1384.0,46.0,44.0,6480.0,3077.0,3403.0,8.62,4.65,70.0,35.96,5571.0,2.81,003850
2021/03,1439.0,108.0,199.0,6706.0,3156.0,3550.0,11.96,6.59,312.0,28.02,5818.0,2.94,003850
2021/06,1503.0,65.0,-30.0,6821.0,3287.0,3535.0,8.41,4.42,-48.0,43.58,5792.0,3.42,003850
2021/09,1674.0,190.0,206.0,8077.0,3363.0,4715.0,10.29,5.62,303.0,24.95,7123.0,2.27,003850
