level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,532.0,50.0,38.0,65171.0,60065.0,5106.0,4.54,0.36,118.0,4.26,15894.0,0.19,006220
2020/12,516.0,16.0,17.0,65318.0,60224.0,5094.0,3.48,0.27,53.0,6.07,15856.0,0.21,006220
2021/03,485.0,91.0,78.0,65123.0,60019.0,5104.0,3.89,0.31,243.0,12.62,15887.0,0.49,006220
2021/06,500.0,81.0,63.0,66508.0,61359.0,5149.0,3.83,0.3,195.0,12.07,16027.0,0.46,006220
2021/09,517.0,97.0,75.0,68217.0,63016.0,5201.0,4.52,0.35,234.0,8.63,16189.0,0.39,006220
