level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,3887.0,194.0,69.0,20633.0,10534.0,10099.0,2.9,1.71,106.0,176.66,15365.0,5.12,003670
2020/12,4499.0,209.0,158.0,20881.0,10644.0,10236.0,2.96,1.56,248.0,225.74,15589.0,6.67,003670
2021/03,4672.0,341.0,398.0,34483.0,11145.0,23337.0,3.38,2.16,540.0,186.36,29588.0,5.24,003670
2021/06,4800.0,356.0,339.0,34960.0,11301.0,23659.0,5.84,3.43,437.0,104.02,30006.0,4.8,003670
2021/09,5050.0,315.0,409.0,37671.0,13558.0,24114.0,7.79,4.47,527.0,98.83,30587.0,5.79,003670
