level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,333.0,32.0,20.0,2762.0,1779.0,983.0,12.93,5.2,27.0,8.6,1364.0,1.02,011330
2020/12,372.0,52.0,37.0,2858.0,1822.0,1036.0,12.01,4.92,53.0,8.88,1442.0,0.98,011330
2021/03,328.0,21.0,15.0,2834.0,1791.0,1043.0,9.36,3.86,20.0,12.35,1449.0,1.08,011330
2021/06,363.0,59.0,47.0,3085.0,1863.0,1222.0,11.69,4.67,65.0,10.42,1517.0,1.13,011330
2021/09,249.0,24.0,18.0,3240.0,1950.0,1290.0,10.99,3.91,24.0,9.4,1528.0,0.99,011330
