level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,998.0,91.0,80.0,5663.0,1488.0,4175.0,7.48,5.75,435.0,4.66,23549.0,0.34,023600
2020/12,1207.0,166.0,136.0,5866.0,1517.0,4349.0,9.64,7.43,734.0,5.36,24537.0,0.49,023600
2021/03,1236.0,236.0,207.0,6126.0,1583.0,4544.0,11.42,8.64,1136.0,5.58,25608.0,0.59,023600
2021/06,1288.0,211.0,177.0,6364.0,1640.0,4724.0,13.31,10.11,963.0,5.14,26598.0,0.63,023600
2021/09,1327.0,129.0,109.0,6492.0,1669.0,4823.0,13.71,10.35,600.0,3.9,27150.0,0.49,023600
