level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,3531.0,271.0,171.0,17431.0,6957.0,10475.0,7.93,3.41,262.0,36.15,15248.0,2.02,003090
2020/12,3449.0,275.0,716.0,18375.0,7206.0,11169.0,15.1,6.75,984.0,29.73,16495.0,3.05,003090
2021/03,3485.0,443.0,-71.0,18668.0,7826.0,10842.0,13.41,5.26,54.0,22.1,15897.0,2.06,003090
2021/06,3815.0,433.0,276.0,18526.0,7673.0,10853.0,14.52,6.24,316.0,28.91,16303.0,2.87,003090
2021/09,3763.0,481.0,337.0,18911.0,7798.0,11113.0,15.84,6.93,461.0,18.31,16842.0,1.97,003090
