level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,3161.0,239.0,194.0,15947.0,4623.0,11324.0,6.88,5.08,1352.0,5.23,82357.0,0.34,004490
2020/12,3310.0,245.0,9.0,15143.0,3782.0,11362.0,6.13,4.41,58.0,14.56,82528.0,0.83,004490
2021/03,3194.0,289.0,313.0,15756.0,4126.0,11629.0,7.03,5.05,2212.0,14.14,84523.0,0.92,004490
2021/06,3317.0,315.0,251.0,16287.0,4459.0,11828.0,6.75,4.83,1774.0,17.98,85986.0,1.13,004490
2021/09,3156.0,185.0,177.0,16268.0,4258.0,12010.0,6.51,4.65,1237.0,16.13,87231.0,0.98,004490
