level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,1751.0,84.0,77.0,8618.0,2465.0,6153.0,7.8,5.47,859.0,4.77,68704.0,0.36,002310
2020/12,2098.0,238.0,184.0,8823.0,2488.0,6335.0,8.9,6.27,2054.0,6.15,70731.0,0.53,002310
2021/03,2186.0,369.0,325.0,9234.0,2637.0,6597.0,11.35,7.95,3627.0,6.15,73656.0,0.66,002310
2021/06,2329.0,293.0,267.0,9577.0,2713.0,6864.0,13.18,9.43,2983.0,5.85,76636.0,0.73,002310
2021/09,2309.0,137.0,145.0,9579.0,2571.0,7008.0,13.99,10.12,1615.0,4.33,78250.0,0.57,002310
