level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,29682.0,2198.0,1610.0,92083.0,24076.0,68007.0,8.06,5.88,2033.0,25.02,85588.0,1.98,018260
2020/12,30465.0,2838.0,1764.0,91549.0,22958.0,68591.0,6.71,4.98,2220.0,31.15,86219.0,2.07,018260
2021/03,30613.0,2171.0,1585.0,95476.0,26686.0,68790.0,9.65,6.93,2016.0,23.79,86460.0,2.24,018260
2021/06,32509.0,2247.0,1648.0,99183.0,28342.0,70841.0,9.64,6.98,2057.0,22.22,89037.0,2.08,018260
2021/09,33813.0,2220.0,1994.0,101729.0,28047.0,73682.0,9.86,7.21,2489.0,18.27,92613.0,1.73,018260
