level_1,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,ROE(%),ROA(%),EPS(원),PER(배),BPS(원),PBR(배),code
2020/09,3394.0,712.0,873.0,33704.0,20074.0,13629.0,11.35,4.59,2707.0,9.85,38578.0,1.06,010780
2020/12,3311.0,547.0,171.0,36215.0,22315.0,13900.0,10.92,4.35,422.0,13.28,38672.0,1.38,010780
2021/03,3102.0,403.0,143.0,38061.0,24323.0,13737.0,11.47,4.23,386.0,13.7,38057.0,1.49,010780
2021/06,3353.0,512.0,32.0,38417.0,24642.0,13775.0,9.63,3.52,-8.0,17.33,38058.0,1.6,010780
2021/09,3176.0,528.0,322.0,36366.0,22269.0,14096.0,4.57,1.9,946.0,26.6,39011.0,1.19,010780
